Customer ID,1st Order Profit,Subsequent Order Profit,Subsequent Orders Count,Total value of all promotions
1,9,5,1,7
2,8,70,7,7
3,14,51,7,0
4,14,0,0,0
5,23,68,9,15
6,4,34,3,2
7,10,0,0,1
8,24,49,8,0
9,14,71,5,0
10,12,9,1,4
11,17,96,8,10
12,15,13,2,5
13,12,30,3,1
15,13,37,4,1
16,20,99,6,15
17,5,0,0,0
18,8,6,3,11
19,12,27,4,0
20,11,0,0,3
21,10,29,3,22
22,10,29,4,0
23,4,0,0,0
24,14,148,14,25
25,11,45,6,41
26,2,0,0,0
27,2,0,0,0
28,3,101,10,0
29,13,178,10,0
30,27,92,6,10
31,13,11,1,0
32,24,89,8,9
33,8,24,2,0
34,12,77,8,10
35,2,40,5,12
36,15,24,2,0
37,6,0,0,2
39,10,31,5,11
40,1,0,0,0
41,20,36,4,0
42,12,45,4,4
43,2,0,0,0
44,2,37,6,0
45,5,128,16,0
46,16,109,11,24
47,4,0,0,2
48,13,70,6,15
49,8,0,0,1
50,2,55,9,2
51,17,105,13,0
52,7,48,12,0
53,1,21,3,0
54,6,124,7,69
55,11,42,6,3
56,5,78,10,26
57,27,0,0,8
58,30,88,7,12
59,2,73,7,0
60,11,0,0,4
61,31,52,3,20
62,13,129,12,21
63,7,42,3,0
65,6,89,7,0
66,10,0,0,0
67,9,0,0,0
68,6,20,6,4
69,25,124,14,10
70,6,0,0,2
71,1,0,0,0
72,2,0,0,0
73,5,0,0,4
74,3,0,0,0
75,7,0,0,1
76,5,0,0,0
77,5,0,0,1
78,3,0,0,0
79,5,0,0,1
80,5,47,7,0
81,7,51,5,19
82,3,33,6,3
83,1,0,0,1
84,8,9,1,15
85,12,0,0,3
86,5,32,17,0
87,12,0,0,0
88,13,65,7,0
89,9,26,1,0
90,2,0,0,0
91,17,13,2,8
92,6,0,0,1
93,8,43,5,29
94,10,38,5,25
95,25,71,7,32
96,4,41,4,6
97,10,0,0,4
98,32,104,9,5
99,15,0,0,4
100,16,10,2,4
101,9,15,3,4
102,6,28,5,3
103,2,0,0,0
104,17,149,17,39
105,18,0,0,0
106,1,113,13,34
107,4,0,0,2
108,19,67,10,1
109,2,35,5,0
110,2,28,2,5
111,12,111,6,13
112,12,60,9,0
113,1,14,1,6
114,17,51,8,8
115,10,16,1,3
116,7,0,0,0
117,6,0,0,3
118,10,134,10,24
119,3,17,3,1
120,12,0,0,2
121,5,30,2,0
122,9,0,0,1
123,3,191,14,1
124,3,118,10,145
126,15,0,0,0
127,4,0,0,0
128,2,0,0,0
129,14,18,1,3
130,14,21,2,12
131,15,0,0,4
132,3,70,6,4
133,12,6,1,2
134,12,0,0,0
135,20,0,0,9
136,9,14,6,11
137,2,0,0,0
138,8,54,5,19
139,2,58,5,10
140,7,19,3,2
141,2,62,4,15
142,5,29,5,9
143,11,12,1,6
144,10,14,7,10
145,10,51,5,21
146,18,34,4,0
147,5,0,0,1
148,6,6,2,0
150,6,60,9,8
151,6,51,9,5
152,3,16,6,4
153,13,81,6,6
154,2,0,0,0
155,6,41,3,11
156,21,81,6,6
157,9,0,0,5
158,9,188,12,13
159,8,43,10,1
160,1,0,0,0
161,10,0,0,2
162,12,141,10,0
163,7,41,5,5
164,14,61,10,8
165,3,51,6,18
166,14,239,13,51
167,5,0,0,0
168,11,60,10,21
169,16,72,4,6
170,9,0,0,0
171,4,0,0,1
172,16,0,0,0
173,2,0,0,0
174,19,0,0,5
176,12,0,0,0
177,7,0,0,3
178,15,0,0,7
179,7,0,0,3
180,6,55,6,0
181,12,13,7,2
182,8,0,0,0
183,7,59,5,18
184,2,59,7,20
185,19,35,3,3
186,10,0,0,0
187,18,0,0,3
188,5,35,6,8
189,13,17,1,0
190,4,12,4,2
191,7,12,6,2
192,13,85,7,0
193,5,58,6,15
194,12,9,1,0
195,4,15,1,1
196,20,0,0,5
197,4,0,0,0
198,13,8,1,4
199,3,56,11,3
200,13,13,3,6
201,9,49,7,0
202,2,115,9,9
203,2,10,5,0
204,2,74,7,0
205,6,0,0,0
206,9,39,4,19
207,11,0,0,2
208,2,116,12,24
209,10,20,2,0
210,14,97,7,0
211,24,89,9,0
212,10,115,7,0
213,9,151,13,0
214,19,28,7,7
215,6,12,1,3
216,3,55,6,6
217,5,0,0,0
218,4,116,14,0
219,17,23,3,2
220,7,0,0,0
221,9,17,4,0
222,10,121,10,26
223,13,41,4,5
224,5,144,10,71
225,15,70,5,35
226,18,11,1,0
227,2,0,0,0
228,19,0,0,4
229,6,12,1,1
230,13,261,19,5
231,18,32,3,18
232,17,0,0,3
233,7,68,6,13
234,9,0,0,1
235,7,65,12,9
237,10,0,0,0
238,16,33,3,6
239,11,29,5,6
240,3,39,4,10
241,17,52,4,3
242,7,152,16,32
243,7,46,5,7
244,19,71,6,1
245,11,12,1,4
246,2,19,4,0
247,2,0,0,0
248,20,30,6,2
249,10,227,13,32
250,3,31,4,6
251,5,0,0,0
252,9,41,4,15
253,11,0,0,0
254,8,25,3,1
255,2,0,0,1
256,8,53,3,21
257,8,0,0,2
258,4,45,12,0
259,12,54,12,0
261,4,10,1,5
262,9,121,12,0
263,16,0,0,0
264,5,0,0,1
265,2,0,0,0
266,1,112,9,26
267,8,0,0,0
268,5,110,9,29
269,12,0,0,1
270,4,0,0,0
271,4,0,0,1
272,1,0,0,0
273,1,0,0,1
274,5,0,0,2
275,6,0,0,0
276,8,0,0,0
277,15,0,0,0
278,6,0,0,1
279,4,0,0,1
280,14,0,0,4
281,8,2,1,1
282,1,8,5,3
283,15,0,0,3
284,9,111,7,24
285,4,94,10,5
287,1,0,0,0
288,8,0,0,2
289,3,112,7,9
290,7,52,6,3
291,11,0,0,3
292,9,51,6,15
293,19,90,7,31
294,5,7,4,0
295,3,86,17,10
296,12,15,4,7
297,7,0,0,3
298,15,80,9,2
299,6,25,2,9
300,6,69,10,5
301,21,0,0,0
302,8,16,2,0
303,11,58,13,8
304,13,6,2,1
305,2,30,4,3
306,15,48,7,1
307,20,0,0,2
308,2,14,1,2
309,18,67,6,16
310,11,50,4,21
311,14,215,20,25
312,9,86,8,0
313,3,75,9,19
314,18,116,8,42
315,9,26,4,19
316,8,52,10,4
317,14,0,0,0
318,11,12,3,0
319,7,105,9,0
320,8,86,13,1
321,3,80,5,32
322,3,0,0,1
323,7,18,3,3
324,7,49,7,0
325,8,60,7,0
326,31,0,0,6
327,8,0,0,0
328,21,40,4,0
329,6,0,0,0
330,19,36,4,8
331,7,4,1,2
332,10,34,4,0
333,8,71,6,2
334,10,0,0,0
335,5,82,6,0
336,4,0,0,1
337,19,0,0,6
338,3,30,6,8
339,14,69,10,11
340,6,20,3,13
341,7,128,13,8
342,2,47,6,2
343,7,35,5,7
344,11,0,0,2
345,11,9,1,1
346,1,0,0,1
348,5,74,9,0
349,2,37,4,13
350,13,15,2,4
351,14,86,8,1
352,7,27,3,0
353,12,118,14,0
354,4,44,4,12
355,4,25,6,11
356,17,115,6,1
357,1,0,0,0
358,12,27,3,7
359,11,0,0,3
360,9,123,10,66
361,12,17,6,10
362,15,19,4,6
363,31,0,0,0
364,25,10,2,0
365,2,36,9,3
366,10,0,0,2
367,13,0,0,2
368,2,100,10,23
369,15,54,5,10
370,11,0,0,1
372,5,0,0,0
373,6,0,0,0
374,24,0,0,7
375,5,0,0,0
376,12,0,0,0
377,12,0,0,2
378,10,0,0,10
379,14,0,0,0
380,6,17,4,12
381,15,19,3,5
382,16,21,3,8
383,7,35,5,0
384,3,0,0,0
